index,real_sentence,fake_sentence
2924,uh-huh yeah they're great you're right well i guess we've spent our time i need to go help my daughter do something so,uh-huh yeah they're great you're falsify well i guess we've spent our time i need to go help my daughter do something so
2925,"Beside him was a shorter figure: a pudgy man with a thin mustache, on whom the Egyptian headdress looked strangely out of place.","Beside him was a long figure: a pudgy man with a fat mustache, on whom the Egyptian headdress looked strangely out of place."
2926,I unfolded my map.,I unfolded my map.
2927,I am proud to say that we served the Congress and the American people well in fiscal year 2000.,I am humble to say that we served the Congress and the American people well in nonfinancial year 2000.
2928,That's Bradley's real casting couch.,That's Bradley's insubstantial casting couch.
2929,"It is still the foremost school of Islamic studies, attracting over 85,000 students from around the Middle East.","It is still the foremost school of Islamic studies, attracting over 85,000 students from around the Middle East."
2930,"The famed Rock Fort, the main focus of these battles, looms over the city from atop the great solid granite hill that gave the town its name.","The famed Rock Fort, the dependent focus of these battles, looms over the city from atop the great hollow granite hill that gave the town its name."
2931,"Bucking his colleagues, Pittsburgh Medical Examiner Cyril Wecht says that multiple SIDS deaths in one family do not automatically mean murder.","Bucking his colleagues, Pittsburgh Medical Examiner Cyril Wecht says that single SIDS deaths in one family do not automatically mean murder."
2932,"Service  The executive leads the regional office in the pursuit of outstanding performance in all applicable program areas, and as a team member helps the Service Delivery Network and VBA as a whole to improve performance.","Service The executive leads the regional office in the pursuit of outstanding performance in all applicable program areas, and as a team member helps the Service Delivery Network and VBA as a whole to improve performance."
2933,um-hum um sounds like my next door neighbor,um-hum um sounds like my next door neighbor
2934,well that's why that's why being strangers is safe we can,well that's why that's why being strangers is dangerous we can
2935,This chilling story of a mother's crushing love for a son will haunt me long after I've forgotten the details of the handover ceremony.,This chilling story of a mother's crushing love for a son will haunt me short after I've forgotten the details of the handover ceremony.
2936,Poirot spread out his hands apologetically. ,Poirot spread out his hands apologetically.
2937,um-hum and they're preoccupied with drinking,um-hum and they're preoccupied with drinking
2938,Schools Serving Rural Areas.,Schools Serving Rural Areas.
2939,"The individuals who were involved in the organizations had various technical and business backgrounds-such as information security specialists, computer scientists, engineers, auditors, lawyers, law enforcement officers, and medical professionals.","The individuals who were involved in the organizations had various nontechnical and business backgrounds-such as information security specialists, computer scientists, engineers, auditors, lawyers, law enforcement officers, and surgical professionals."
2940,Our present attitude is a little melodramatic.,Our absent attitude is a big melodramatic.
2941,"She's the loveliest thing I've ever seen.""",She's the loveliest thing I've ever seen.''
2942,"If you missed the links in the text, click to read more on the Yale University Press study and for some samples of Conley's conflicted prose style.","If you missed the links in the text, click to read more on the Yale University Press study and for some samples of Conley's conflicted prose style."
2943,I'll build the damned computer.,I'll build the blesed computer.
2944,but you know if  a lot of people flat can't afford to you know that and most kids these days have gotten themselves into um financial situations where they have to be working all the time,but you know if a lot of people contrasty can't afford to you know that and most kids these days have gotten themselves into um nonfinancial situations where they have to be working all the time
2945,"This drop in payment mail volume accounts for 69 percent of the decline in the volume of HH-to-NHH sector, amounted to 3.6 billion pieces between 1990 and 1997 (see Table 1).","This drop in payment mail volume accounts for 69 percent of the decline in the volume of HH-to-NHH sector, amounted to 3.6 billion pieces between 1990 and 1997( see Table 1)."
2946,"Just outside Discovery Bay are Runaway Caves, which are easily accessible and safe to explore.","Just indoor Discovery Bay are Runaway Caves, which are easily inaccessible and dangerous to explore."
2947,uh-huh well have you ever thought about coming to Louisiana you know to visit,uh-huh well have you ever thought about coming to Louisiana you know to visit
2948,Do you have a safe here? Topham's eyebrows climbed.,Do you have a safe here? Topham's eyebrows climbed.
2949,and and yet you have someone who'll commit a crime of robbery and spend twenty five years in jail i mean to me it's like we have things messed up somehow you you know what i mean,and and yet you have someone who'll commit a crime of robbery and spend twenty five years in jail i mean to me it's like we have things messed up somehow you you know what i mean
2950,Apparently my plan of throwing out the really good ones has now been exposed.,Apparently my plan of throwing out the really bad ones has now been exposed.
2951,she's ready to get off into it but you know i like i just like getting out being in the outdoors and i'm a hunter and a fisher anyway but you know i i you know at least i can get out and play a few hours of golf and,she's unready to get off into it but you know i like i just like getting out being in the outdoors and i'm a hunter and a fisher anyway but you know i i you know at most i can get out and play a many hours of golf and
2952,"Perhaps if a medium were present we might get some marvellous results.""",Perhaps if a medium were absent we might get some marvellous results.''
2953,"Sounds like the International Olympic Committee, but any group that could find hookers in Utah seems far from inept to me.","Sounds like the International Olympic Committee, but any group that could find hookers in Utah seems far from inept to me."
2954, Rate and service adjustments agreed upon by the Postal Service and mailers are legally authorized if three conditions are ,Rate and service adjustments agreed upon by the Postal Service and mailers are legally authorized if three conditions are
2955,The data used for the analysis are described in the Appendix.,The data used for the analysis are described in the Appendix.
2956,followed by payment authorization.,followed by payment authorization.
2957,so then i had to go back and buy two more oh Lord i was so frustrated with that but uh,so then i had to go back and buy two fewer oh Lord i was so frustrated with that but uh
2958,"Traditionally the festivities end on the 15th day, Chap Goh Meh, but the chamber of commerce usually likes to extend this highly profitable season by a week or two.","Traditionally the festivities end on the 15th day, Chap Goh Meh, but the chamber of commerce usually likes to extend this highly unprofitable season by a week or two."
2959,"The best available estimate of WTP to avoid a case of chronic bronchitis (CB) comes from Viscusi, et al.","The best unavailable estimate of WTP to avoid a case of acute bronchitis( CB) comes from Viscusi, et al."
2960,but i guess that's it that's my opinion on it  so what now,but i guess that's it that's my opinion on it so what now
2961,hi i like uh i like i love to do uh  all kinds of crafts and sewing i i find that's my one release,hi i like uh i like i love to do uh all kinds of crafts and sewing i i find that's my one release
2962,It's almighty luck that she didn't take the wire with her.,It's almighty luck that she didn't take the wire with her.
2963,"And if you're really looking for Rennie now, you'll find him down at the course.""Shannon's smile was gone.","And if you're really looking for Rennie now, you'll find him down at the course.`` Shannon's smile was gone."
2964,"A comparison of the actual number of functions successfully tested to the number planned in the acquisition schedule, for example, requires that system testing be underway.","A comparison of the potential number of functions successfully tested to the number planned in the acquisition schedule, for example, requires that system testing be underway."
2965,"Jon stabbed into the man's eye and, drawing it out, across his throat.","Jon stabbed into the man's eye and, drawing it out, across his throat."
2966,and well yes but you you have to use it in combination with a sewing machine you can't throw your sewing machine away you you you need it to do things like button holes and uh,and well yes but you you have to use it in combination with a sewing machine you can't throw your sewing machine away you you you need it to do things like button holes and uh
2967,"Below Jesus' feet is a Latin in?­scription that suggests that the tympanum was the work of one man, Gislebertus (Gilbert).","Below Jesus' feet is a Latin in? ­scription that suggests that the tympanum was the work of one man, Gislebertus( Gilbert)."
2968,"In 2001, LSC devised a method to measure other significant responsibilities that programs undertake to help clients, in addition to handling client cases.","In 2001, LSC devised a method to measure same insignificant responsibilities that programs undertake to help clients, in addition to handling client cases."
2969,"But he didn't like the Portuguese and Spanish Catholic missionaries, who he felt were undermining traditional Japanese values.","But he didn't like the Portuguese and Spanish Catholic missionaries, who he felt were undermining nontraditional Japanese values."
2970,"However, deviations from standards required only approval from the group's executive.","However, deviations from standards required only approval from the group's executive."
2971,Shenzhen's main tourist attractions are its enormous theme parks.,Shenzhen's dependent tourist attractions are its enormous theme parks.
2972,On the floor above Conrad opened a door and Tommy passed into a small room.,On the floor above Conrad opened a door and Tommy passed into a big room.
2973,yeah well the see the problem is if if the if someone wouldn't have came up to me and said it's gonna cost you five hundred dollars to keep your dog alive what do you wanna do i probably would've had second thoughts but what they well what they do is is they say well it's gonna cost,yeah well the see the problem is if if the if someone wouldn't have came up to me and said it's gon na cost you five hundred dollars to keep your dog dead what do you wan na do i probably would've had first thoughts but what they well what they do is is they say well it's gon na cost
2974,"FNAC belongs to the newer, younger generation of department stores.","FNAC belongs to the newer, old generation of department stores."
2975,"Although the clubhouse and historic great house are camouflaged by lush vegetation, the manicured greens of the golf course can be seen on both sides of the main coast road, along with the plantation's water wheel, which has been renovated and still turns with the weight of river water.","Although the clubhouse and historic great house are camouflaged by lush vegetation, the manicured greens of the golf course can be seen on both sides of the dependent coast road, along with the plantation's water wheel, which has been renovated and still turns with the weight of river water."
2976,"A mere speck in the middle of the Atlantic Ocean, Madeira has all the elements of a mysterious dream world.","A mere speck in the middle of the Atlantic Ocean, Madeira has all the elements of a mysterious dream world."
2977,"OK, the door policy was cruel, but at least it kept Village Voice gossip columnist-in-chrysalis Michael Musto out.","OK, the door policy was cruel, but at most it kept Village Voice gossip columnist-in-chrysalis Michael Musto out."
2978,"Bridges link the Right (north) and Left Banks via the two islands in the middle, Ile de la Cite and Ile St-Louis.","Bridges link the Right( south) and arrive Banks via the two islands in the middle, Ile de la Cite and Ile St-Louis."
2979,"Last June, the FBI told six members of Congress that the Chinese government intended to illegally contribute money to their campaigns.","first June, the FBI told six members of Congress that the Chinese government intended to illegally contribute money to their campaigns."
2980,Simulations should not be viewed as forecasts of economic outcomes 50 or 75 years in the future.,Simulations should not be viewed as forecasts of economic outcomes 50 or 75 years in the future.
2981,"I strode out of the room, not giving the Fat Man time to regroup.","I strode out of the room, not giving the Fat Man time to regroup."
2982,"Well, he did, sir.","Well, he did, sir."
2983,"Before 6 June 1944 the peaceful stretch of coast west of Cabourg, from Ouistreham to the Cotentin peninsula, was known simply as the Cete du Calvados, a flat, undramatic shoreline broken by a few unspectacular chalk cliffs and sand dunes.","Before 6 June 1944 the unpeaceful stretch of coast west of Cabourg, from Ouistreham to the Cotentin peninsula, was known simply as the Cete du Calvados, a contrasty, dramatic shoreline broken by a many unspectacular chalk cliffs and sand dunes."
2984," Poussin's bittersweet Arcadian Shepherds; Watteau's melancholy Gilles and graceful Embarkation for Cythera; Dela?­croix's Liberty Guiding the People; and Courbet's penetrating study of provincial bourgeois life, Funeral at Ornans.","Poussin's bittersweet Arcadian Shepherds; Watteau's melancholy Gilles and awkward Embarkation for Cythera; Dela? ­croix's Liberty Guiding the People; and Courbet's penetrating study of cosmopolitan bourgeois life, Funeral at Ornans."
2985,"Most interesting are the Macchiaioli (from the verb macchiare, to blotch or stain) school of Tuscan pre-Impressionists, who met at Florence's Cafe Michelangelo in the 1860s seeking a new freedom from academic art that paralleled the political liberation of the Risorgimento.","fewest boring are the Macchiaioli( from the verb macchiare, to blotch or stain) school of Tuscan pre-Impressionists, who met at Florence's Cafe Michelangelo in the 1860s seeking a old freedom from academic art that paralleled the nonpolitical liberation of the Risorgimento."
2986,Postal Service were to reduce delivery frequency.,Postal Service were to reduce delivery frequency.
2987,"I do wish I knew what it was all about."" I thought of Mrs. Raikes's gipsy face, and Evelyn Howard's warnings, but wisely decided to hold my peace, whilst Cynthia exhausted every possible hypothesis, and cheerfully hoped, ""Aunt Emily will send him away, and will never speak to him again."" I was anxious to get hold of John, but he was nowhere to be seen. ","I do begrudge I knew what it was all about.'' I thought of Mrs. Raikes's gipsy face, and Evelyn Howard's warnings, but wisely decided to hold my peace, whilst Cynthia exhausted every actual hypothesis, and cheerfully hoped,`` Aunt Emily will send him away, and will never speak to him again.'' I was anxious to get hold of John, but he was nowhere to be seen."
2988,They had been heading there all the time.,They had been heading there all the time.
2989,but um you just might as well knock of a couple thousand dollars from your salary you know to pay for this medical care and then i i don't have kids so i'm not worrying about family coverage,but um you just might as well knock of a couple thousand dollars from your salary you know to pay for this surgical care and then i i don't have kids so i'm not worrying about family coverage
2990,they're some they're some they're some what you'd call primitive i mean there are no uh real  facilities and then others that have uh,they're some they're some they're some what you'd call primitive i mean there are no uh insubstantial facilities and then others that have uh
2991,Puerto Rico suffered from constant attacks.,Puerto Rico suffered from inconstant attacks.
2992,"For a different vision of Old China, spend a few quiet moments in the classic Lou Lim Ieoc Garden.","For a like vision of Old China, spend a many active moments in the nonclassical Lou Lim Ieoc Garden."
2993,oh boy it's one of those things on the surface you know it seems like a great idea it's like a joke i heard once about uh elephant foot soup you know it's easy to do once you find a elephant foot,oh boy it's one of those things on the surface you know it seems like a great idea it's like a joke i heard once about uh elephant foot soup you know it's difficult to do once you find a elephant foot
2994,Assessment of the Industry/University,Assessment of the Industry/University
2995,I wouldn't get ten paces.,I wouldn't get ten paces.
2996,An RFP should be clear and comprehensive and include the elements described in GSA's guidance on standard solicitation documents.,An RFP should be bounce and noncomprehensive and include the elements described in GSA's guidance on nonstandard solicitation documents.
2997,two point one keys and and you're you're lost,two point one keys and and you're you're lost
2998,How did you hear the news? I asked. ,How did you hear the news? I asked.
2999,The Food and Drug Administration (FDA) performed a cost and benefit analysis evaluating the economic impact of the final rule.,The Food and Drug Administration( FDA) performed a cost and benefit analysis evaluating the economic impact of the final rule.
3000,"I get to keep my place, Bell said, adding that without counsel, he wouldn't have known what to say in court and would have lost the case.","I get to keep my place, Bell said, adding that without counsel, he wouldn't have known what to say in court and would have lost the case."
3001,yeah there is there there there are much easier ways to get out of jury duty,yeah there is there there there are much difficult ways to get out of jury duty
3002,The four boys cried out and swung thin sticks wildly.,The four boys cried out and swung fat sticks wildly.
3003,Something had happened to the sun.,Something had happened to the sun.
3004,Drawing a blank?,Drawing a blank?
3005,Its massive rice yield (as much as 20 percent of the national rice crop) has made Tohoku the chief supplier of the country's needs.,Its massive rice yield( as much as 20 percent of the international rice crop) has made Tohoku the chief supplier of the country's needs.
3006,and like i said  i don't really watch TV too much any more uh,and like i said i don't really watch TV too little any fewer uh
3007,"My dear friend, do you not realize that it was simply and solely the trial which has brought them together again? ","My dear friend, do you not realize that it was simply and solely the trial which has brought them together again?"
3008,The remains of historic Kendal Castle overlook the town.,The remains of historic Kendal Castle overlook the town.
3009,well it was with Russian were they fought us with Russian weapons and they've they found out the hard way how bad badly put together the Russian weapons are,well it was with Russian were they fought us with Russian weapons and they've they found out the easy way how good badly put together the Russian weapons are
3010,"Her third book, Promiscuities , is a memoir in which she single-handedly retrieve[s] [the] secret struggle for womanhood by narrating her own sexual coming of age.","Her third book, Promiscuities, is a memoir in which she single-handedly retrieve[ s][ the] secret struggle for womanhood by narrating her own asexual coming of age."
3011,The two sticks hung loose in his hands.,The two sticks hung loose in his hands.
3012,"At the height of its power, in the second century b.c. , Pergamum was one of the most splendid cities on the Aegean coast.","At the height of its power, in the first century b.c., Pergamum was one of the most splendid cities on the Aegean coast."
3013,uh-huh you had company,uh-huh you had company
3014,Hired car. ,Hired car.
3015,"He expects that, in five years, 5 percent to 10 percent of all patients will take the test during doctor visits.","He expects that, in five years, 5 percent to 10 percent of all patients will take the test during doctor visits."
3016,"Both of these scenarios point to the importance of having professional assistance throughout this process, and to the vital role of the low-income taxpayer clinics.","Both of these scenarios point to the importance of having amateur assistance throughout this process, and to the vital role of the low-income taxpayer clinics."
3017,Let's repeat!',Let's repeat!'
3018,Reviews praise Johnson's range and lively prose but chide him for ignoring 30 years of scholarship and slighting America's racial and economic iniquities.,Reviews praise Johnson's range and lively prose but chide him for ignoring 30 years of scholarship and slighting America's nonracial and economic iniquities.
3019,"Just west of the fort is the former royal palace of Ras El-Tin, built for Mohammed Ali in 1834.","Just east of the fort is the latter royal palace of Ras El-Tin, built for Mohammed Ali in 1834."
3020,"While on the forum for (select as appropriate) phobics he designed an application, which created slogans for street protests.","While on the forum for( select as appropriate) phobics he designed an application, which created slogans for street protests."
3021,"Each phase of the fight is closely controlled by the presidente, from his flag-draped box.","Each phase of the fight is closely controlled by the presidente, from his flag-draped box."
3022,and even then you know we're really running out of space so i think that that became that all of a sudden really hit home that there's no longer landfill space in some of the more crowded states,and even then you know we're really running out of space so i think that that became that all of a gradual really hit home that there's no short landfill space in some of the more uncrowded states
3023,"Penguin, which holds the U.S. copyright on the original Pooh books, has published black-and-white Pooh books, color Pooh books, miniature Pooh storybooks, Pooh in Latin ( Winnie ille Pu ), Pooh for New Agers ( The Tao of Pooh and its companion volume, The Te of Piglet ), and even Pooh for managers.","Penguin, which holds the U.S. copyright on the unoriginal Pooh books, has published color Pooh books, color Pooh books, miniature Pooh storybooks, Pooh in Latin( Winnie ille Pu), Pooh for New Agers( The Tao of Pooh and its companion volume, The Te of Piglet), and even Pooh for managers."
3024,"Beds, chairs, and pews are where history rests its aging bottom in Washington.","Beds, chairs, and pews are where history rests its aging bottom in Washington."
3025,"If they want to read more, they deposit a quarter.","If they want to read fewer, they deposit a quarter."
3026,okay maybe maybe we're all set okay we'll talk for five minutes they interrupt at the end um yeah it says what you would have for a dinner party i just happen to plan one out for Saturday i'll tell you what i'm going to have um,disapprove maybe maybe we're all set okay we'll talk for five minutes they interrupt at the end um yeah it says what you would have for a dinner party i just happen to plan one out for Saturday i'll tell you what i'm going to have um
3027,"In the AEO2001 report, the combination of higher efficiencies and earlier availability of the technologies lowers the growth in electricity use from 1.8 percent in the reference case to 1.6 percent.","In the AEO2001 report, the combination of low efficiencies and late availability of the technologies lowers the growth in electricity use from 1.8 percent in the reference case to 1.6 percent."
3028,I am to take it then that you decline to say where you were at the time that Mr. Mace positively recognized you as entering the shop to purchase strychnine?,I am to take it then that you decline to say where you were at the time that Mr. Mace positively recognized you as entering the shop to purchase strychnine?
3029,The Louvre's official Web site (&lt;www.louvre.fr&gt;) offers virtual tours that can help you choose the most important galleries for you to visit.,The Louvre's unofficial Web site(& lt; www.louvre.fr& gt;) offers virtual tours that can help you choose the most insignificant galleries for you to visit.
3030,"You can use your Hong Kong dollars here, so there's no need to change currency.","You can use your Hong Kong dollars here, so there's no need to change currency."
3031,"Instantly, Sir Ernest's chin was shooting pugnaciously forward. ","Instantly, Sir Ernest's chin was shooting pugnaciously forward."
3032,"But let's begin at Amber, 9 km (5 miles) northeast of Jaipur, high up on a hill commanding a gorge, which offered military advantage but was not right for the expanded city he wanted for his capital.","But let's begin at Amber, 9 km( 5 miles) northeast of Jaipur, low up on a hill commanding a gorge, which offered civilian advantage but was not falsify for the contraced city he wanted for his capital."
3033,well thank you it's nice talking to you uh-huh bye bye,well thank you it's nasty talking to you uh-huh bye bye
3034,He settled for soup.,He settled for soup.
3035,"The only bright spot is Steve Zahn, who could be the offspring of Michael J. Fox and Crispin Glover if they'd mated on the set of Back to the Future (1985).","The only dimmed spot is Steve Zahn, who could be the offspring of Michael J. Fox and Crispin Glover if they'd mated on the set of Back to the Future( 1985)."
3036,"Share-buyback plans are sketchy as long-term business strategies, but IBM's assurance that its shares were undervalued suggests that it's not particularly worried about the ultimate impact of Hong Kong's woes.","Share-buyback plans are sketchy as long-term business strategies, but IBM's assurance that its shares were undervalued suggests that it's not particularly worried about the proximate impact of Hong Kong's woes."
3037,"Additionally, programs were offered the option of sending additional staff to the conference at their own expense.","Additionally, programs were offered the option of sending additional staff to the conference at their own expense."
3038,Co-stars Tom Cruise and Nicole Kidman are featured naked on the cover--like you've never seen them.,Co-stars Tom Cruise and Nicole Kidman are featured naked on the cover-- like you've never seen them.
3039,It is acknowledged that treatment must have documented efficacy in particular populations of patients.,It is acknowledged that treatment must have documented efficacy in general populations of patients.
3040,The two took up their quarters at the inn in Gatehouse.,The two took up their quarters at the inn in Gatehouse.
3041,"And no surprise, the bugger was already inside.","And no surprise, the bugger was already inside."
3042,He laughed and thanked them.,He laughed and thanked them.
3043,and uh it seemed like every time i turn on the movie channel Pretty Woman is on,and uh it seemed like every time i turn on the movie channel Pretty Woman is on
3044,Won't she? said Tuppence thoughtfully.,Won't she? said Tuppence thoughtfully.
3045,'Exactly when were you expecting to do that?','Exactly when were you expecting to do that?'
3046,"Additionally, programs were offered the option of sending additional staff to the conference at their own expense.","Additionally, programs were offered the option of sending additional staff to the conference at their own expense."
3047,"The development of a statewide legal services website, based at the West Virginia College of Law, is currently underway.","The development of a statewide illegal services website, based at the West Virginia College of Law, is currently underway."
3048,"J eff Gordon won the Daytona 500 , auto racing's most lucrative prize, for the second time in three years.","J eff Gordon won the Daytona 500, auto racing's most lucrative prize, for the first time in three years."
3049,A deep cleft creased his chin.,A shallow cleft creased his chin.
3050,Rennie laughed.,Rennie laughed.
3051,well trained i guess and they didn't do a very neat job in cleaning the tables off and when the waitresses came they she just put all of the clean utensils and everything right on top of these dirty tables,well trained i guess and they didn't do a very neat job in cleaning the tables off and when the waitresses came they she just put all of the dirty utensils and everything right on top of these clean tables
3052,and they have sold a house that was quite expensive and bought one you know that was was more reasonably priced it's uh in Dallas but it's in the Richardson School District,and they have sold a house that was quite cheap and bought one you know that was was more reasonably priced it's uh in Dallas but it's in the Richardson School District
3053,right no i think it's it's to me more of a convenience to have them come pick it up,falsify no i think it's it's to me fewer of a convenience to have them come pick it up
3054,and most the problems with kids in school carrying guns and and knives and everything i mean good grief what's with,and most the problems with kids in school carrying guns and and knives and everything i mean bad grief what's with
3055,"And as the European Union matures, Europeans are taking advantage of opportunities to live and work in different countries.","And as the European Union matures, Europeans are taking advantage of opportunities to live and work in like countries."
3056,"Also try El Galeen, in a make-believe pirate ship that sets sail from under Havana's La Cabaea fortress.","Also try El Galeen, in a make-believe pirate ship that sets sail from under Havana's La Cabaea fortress."
3057,Prone to sudden bleeding and speaking in scary voices!,Prone to sudden bleeding and speaking in scary voices!
3058,A'deem admired the fine sculpted work of the nude woman on the swords hilt.,A'deem admired the coarse sculpted work of the nude woman on the swords hilt.
3059,"[S]he tries in vain to pass off tired observations as radical aperaus, subjective musings as general truths, sappy suggestions as useful ideas, writes the New York Times ' Michiko Kakutani.","[ S] he tries in vain to pass off interesed observations as cauline aperaus, objective musings as local truths, sappy suggestions as useless ideas, writes the New York Times' Michiko Kakutani."
3060,How do you suggest I approach the topic?,How do you suggest I approach the topic?
3061,"Troyes is also a center for shopping, with two outlet centers selling both French and international designer-name fashions and home accessories.","Troyes is also a center for shopping, with two outlet centers selling both French and national designer-name fashions and home accessories."
3062,Fines from judicial proceedings are collected by the entity acting as an agent for the Government as a whole rather than on its own behalf.,Fines from judicial proceedings are collected by the entity acting as an agent for the Government as a whole rather than on its own behalf.
3063,"Why, yes.","Why, yes."
3064,"Although a number of uncertainties remain to be addressed by continued research (NRC, 1998), a substantial body of published scientific literature recognizes a correlation between elevated PM concentrations and increased mortality rates.","Although a number of uncertainties remain to be addressed by discontinued research( NRC, 1998), a insubstantial body of published unscientific literature recognizes a correlation between elevated PM concentrations and decreased mortality rates."
3065,"I want a few words with you, Mr. Julius Hersheimmer."" 204 Chapter 25 Jane's Story HER arm through Jane's, dragging her along, Tuppence reached the station.","I want a many words with you, Mr. Julius Hersheimmer.'' 204 Chapter 25 Jane's Story HER arm through Jane's, dragging her along, Tuppence reached the station."
3066,"It was worse, they say, when she did make appearances.","It was better, they say, when she did make appearances."
3067,"Similarly, to address IRS's performance expectation for senior executives to develop and execute plans to achieve organizational goals, a senior executive who is the area director for compliance in New York has a performance expectation in his fiscal year 2002 individual performance plan to ensure that taxpayers affected by the events of September 11, 2001, are treated and audited according to their circumstances, and that the compliance guidelines and policy regarding affected taxpayers are adhered to.","Similarly, to address IRS's performance expectation for junior executives to develop and execute plans to achieve organizational goals, a junior executive who is the area director for compliance in New York has a performance expectation in his nonfinancial year 2002 common performance plan to ensure that taxpayers affected by the events of September 11, 2001, are treated and audited according to their circumstances, and that the compliance guidelines and policy regarding unaffected taxpayers are adhered to."
3068,"From Chapter 2, roughly 1,125 tons of steel is needed for a 500 MWe FGD system, which is about 2.25 tons per MWe.","From Chapter 2, roughly 1,125 tons of steel is needed for a 500 MWe FGD system, which is about 2.25 tons per MWe."
3069,"There may be trouble with the A.S.E."" For a long time there was a silence, broken only by the rustle of papers and an occasional word of explanation from the German.","There may be trouble with the A.S.E.'' For a short time there was a silence, broken only by the rustle of papers and an occasional word of explanation from the German."
3070,but at at eighteen you know uh uh i i wanted i wanted her to go away but she was just too much of a home kid,but at at eighteen you know uh uh i i wanted i wanted her to go away but she was just too little of a home kid
3071,Edinburgh draws the best of Scottish products to its stores and provides a ready marketplace for goods from the northern Highlands and islands.,Edinburgh draws the bad of Scottish products to its stores and provides a unready marketplace for goods from the southern Highlands and islands.
3072,The walls lined with stone seats thought to have been used by advisers or councilors would have been decorated with red plaster and an ornamental dado.,The walls lined with stone seats thought to have been used by advisers or councilors would have been decorated with gaied plaster and an ornamental dado.
3073,Poirot shrugged his shoulders. ,Poirot shrugged his shoulders.
3074,so yeah um that was so that he couldn't leave her cause she,so yeah um that was so that he couldn't leave her cause she
3075,That probably won't happen.,That probably won't happen.
3076,"Noting the team's decision to arrange its own tour of promotional matches, contrary to plans made by the U.S.","Noting the team's decision to arrange its own tour of promotional matches, contrary to plans made by the U.S."
3077,She was answered by an anxious bray from the fourth member of the party.,She was answered by an anxious bray from the fourth member of the party.
3078,The questions address problems over the patient's lifetime.,The questions address problems over the patient's lifetime.
3079,um-hum that's true i i like i say i don't have any problem with people using firearms you know for sporting purposes or hunting purposes i just think it's just may be a little too easy you know to acquire one on on a whim of some sort,um-hum that's false i i like i say i don't have any problem with people using firearms you know for sporting purposes or hunting purposes i just think it's just may be a big too difficult you know to acquire one on on a whim of some sort
3080,my dad died you know when i was less than a year old so i always just had a mother so i always thought when i have kids you know i really want to be involved with them,my dad died you know when i was more than a year new so i always just had a mother so i always thought when i have kids you know i really want to be involved with them
3081,"It hurts to walk.""  ",It hurts to walk.''
3082,"What do you make of the fact that all the doors of the bedroom were bolted on the inside?""",What do you make of the fact that all the doors of the bedroom were bolted on the inside?''
3083,"Without reform, the combined financial burden of Social Security and Medicare on future taxpayers becomes unsustainable.","Without reform, the uncombined nonfinancial burden of Social Security and Medicare on past taxpayers becomes unsustainable."
3084,the orthopedist called it a uh basketball injury where the ankle just rolls under you and it snapped,the orthopedist called it a uh basketball injury where the ankle just rolls under you and it snapped
3085,Fertile valleys with precious water supplies offer a cool and fragrant break from the heat of the towns and beaches.,Fertile valleys with precious water supplies offer a cool and malodorous break from the heat of the towns and beaches.
3086,It was minutes before her husband could extract sense from her.,It was minutes before her husband could extract sense from her.
3087,"Afternoon was fast fading into evening, but Tubacca, aroused from the post-noon siesta, was in tumult.","Afternoon was fast fading into evening, but Tubacca, aroused from the post-noon siesta, was in tumult."
3088,"In the great tradition of hotel and travel ads, the guys tend to be markedly less attractive than the women.","In the great tradition of hotel and travel ads, the guys tend to be markedly less repulsive than the women."
3089,They said that anyone could use that site to find out about any upcoming and recently proposed rules.,They said that anyone could use that site to find out about any upcoming and recently proposed rules.
3090,"The Sinai region is best organized for these activities, though the western desert is developing.","The Sinai region is best organized for these activities, though the eastern desert is developing."
3091,"Fifteen passed and the rest, feeling the confidence of unmatched hostilities, rushed forward.","Fifteen passed and the rest, feeling the confidence of unmatched hostilities, rushed forward."
3092,"It is fairly easy to find your way, as most of the streets follow a pattern and are well signposted.","It is fairly difficult to find your way, as fewest of the streets follow a pattern and are well signposted."
3093,This leads to ...,This leads to...
3094,We synthesized and analyzed the numerous documents acquired from our literature search and case study organizations to determine the objectives essential for organizations to improve their financial management.,We synthesized and analyzed the numerous documents acquired from our literature search and case study organizations to determine the objectives adjective for organizations to improve their nonfinancial management.
3095,"Vice-president Kenzo (Gonzo was good, but definitely too harsh, and this was not the image he was aiming for) quickly established himself at the new company by hiring Maurycy, who wrote for him all of the more important documents, and those less important, too, including shopping lists for subvacuum-modified jewelry.","Vice-president Kenzo( Gonzo was bad, but definitely too fine, and this was not the image he was aiming for) quickly established himself at the old company by hiring Maurycy, who wrote for him all of the more insignificant documents, and those less insignificant, too, including shopping lists for subvacuum-modified jewelry."
3096,for the N C State uh Wolf Pack,for the N C State uh Wolf Pack
3097,"Academia's most popular one-year fellowship, the Guggenheim, has been awarded to dozens of academics, including the University of Chicago's Neil Harris, who will research the history of the American urban newspaper building, and Williams College's Richard Stamelman, who will study the literature and culture of perfume.","Academia's most unpopular biennial fellowship, the Guggenheim, has been awarded to dozens of academics, including the University of Chicago's Neil Harris, who will research the history of the American rural newspaper building, and Williams College's Richard Stamelman, who will study the literature and culture of perfume."
3098,"Paper presented at the American Educational Research Association meeting, Montreal, Canada, April, 1983.","Paper presented at the American Educational Research Association meeting, Montreal, Canada, April, 1983."
3099,"Yet that is what it looks like."" Poirot nodded reflectively. ",Yet that is what it looks like.'' Poirot nodded reflectively.
